AuSR,Dataset,File,TR,ATR,TPR,FNR,FPR,TNR,Precision,F1Score,Accuracy,Time
1,1,1,10,0.1001,1,0,0,1,1,1,1,3.356
1,1,1,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.1002
1,1,1,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.0668
1,1,1,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.0167
1,1,1,50,0.4999,1,0,0,1,1,1,1,3.0261
1,1,1,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.9601
1,1,1,70,0.6988,1,0,0.0217,0.9783,0.9788,0.9893,0.9892,3.036
1,1,1,80,0.8002,1,0,0,1,1,1,1,2.9369
1,1,2,10,0.1001,1,0,0,1,1,1,1,3.1837
1,1,2,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.2241
1,1,2,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.1181
1,1,2,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.1278
1,1,2,50,0.4999,1,0,0,1,1,1,1,2.9971
1,1,2,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.9886
1,1,2,70,0.6988,1,0,0.0217,0.9783,0.9788,0.9893,0.9892,2.9284
1,1,2,80,0.8002,1,0,0,1,1,1,1,2.931
1,1,3,10,0.1001,1,0,0,1,1,1,1,3.2276
1,1,3,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.1649
1,1,3,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.1189
1,1,3,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.1394
1,1,3,50,0.4999,1,0,0,1,1,1,1,3.0673
1,1,3,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.9688
1,1,3,70,0.6988,1,0,0.0217,0.9783,0.9787,0.9893,0.9891,3.0762
1,1,3,80,0.8002,1,0,0,1,1,1,1,3.0309
1,1,4,10,0.1001,1,0,0,1,1,1,1,3.1631
1,1,4,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.159
1,1,4,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.1333
1,1,4,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.0659
1,1,4,50,0.4999,1,0,0,1,1,1,1,3.0234
1,1,4,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.971
1,1,4,70,0.6988,1,0,0.0217,0.9783,0.9787,0.9893,0.9891,2.8819
1,1,4,80,0.8002,1,0,0,1,1,1,1,2.8777
1,1,5,10,0.1001,1,0,0,1,1,1,1,3.1426
1,1,5,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.1573
1,1,5,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.0803
1,1,5,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.0404
1,1,5,50,0.4999,1,0,0,1,1,1,1,3.0443
1,1,5,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.9531
1,1,5,70,0.6988,1,0,0.0217,0.9783,0.9787,0.9893,0.9891,3.1186
1,1,5,80,0.8002,1,0,0,1,1,1,1,2.9021
1,1,6,10,0.1001,1,0,0,1,1,1,1,3.1793
1,1,6,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.0833
1,1,6,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.0691
1,1,6,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.0288
1,1,6,50,0.4999,1,0,0,1,1,1,1,3.0297
1,1,6,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,3.0619
1,1,6,70,0.6988,1,0,0.0217,0.9783,0.9787,0.9893,0.9891,2.9286
1,1,6,80,0.8002,1,0,0,1,1,1,1,2.9578
1,1,7,10,0.1001,1,0,0,1,1,1,1,3.189
1,1,7,20,0.2,1,0,0.0022,0.9978,0.9978,0.9989,0.9989,3.1325
1,1,7,30,0.2991,1,0,0.0061,0.9939,0.9939,0.997,0.9969,3.0948
1,1,7,40,0.4005,1,0,0.0083,0.9917,0.9918,0.9959,0.9959,3.1064
1,1,7,50,0.4999,1,0,0,1,1,1,1,3.0259
1,1,7,60,0.6012,1,0,0.0076,0.9924,0.9925,0.9962,0.9962,2.9934
1,1,7,70,0.6988,1,0,0.0217,0.9783,0.9788,0.9893,0.9892,2.9949
1,1,7,80,0.8002,1,0,0,1,1,1,1,2.9059
1,1,8,10,0.1001,1,0,0,1,1,1,1,3.2869
