AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,1,1,10,36.442,0.9794,0.0193,4.2436
1,1,1,20,32.8983,0.9671,0.0741,4.1543
1,1,1,30,30.3939,0.9496,0.1572,4.6177
1,1,1,40,28.1412,0.9237,0.2621,5.2078
1,1,1,50,26.4292,0.8937,0.3745,6.1822
1,1,1,60,24.6889,0.8546,0.5089,8.1749
1,1,1,70,22.9657,0.8067,0.6431,12.7658
1,1,1,80,20.997,0.7433,0.7679,25.7657
1,1,2,10,37.5016,0.9958,0.0193,3.7681
1,1,2,20,33.1695,0.9894,0.0741,3.9691
1,1,2,30,28.7585,0.9595,0.1572,4.3882
1,1,2,40,25.4721,0.9047,0.2621,4.9658
1,1,2,50,23.3908,0.8436,0.3745,5.6815
1,1,2,60,21.6679,0.773,0.5089,7.6239
1,1,2,70,20.2566,0.7008,0.6431,11.7987
1,1,2,80,18.7783,0.6227,0.7679,23.9638
1,1,3,10,35.6678,0.9879,0.0193,3.5393
1,1,3,20,32.1864,0.9752,0.0741,3.8171
1,1,3,30,29.5985,0.9584,0.1572,4.1842
1,1,3,40,27.2651,0.9327,0.2621,4.7651
1,1,3,50,25.4867,0.9033,0.3745,5.7181
1,1,3,60,23.7795,0.867,0.5089,7.5652
1,1,3,70,21.9777,0.8175,0.6432,11.8559
1,1,3,80,20.0399,0.7511,0.7679,23.9987
1,1,4,10,37.7653,0.9959,0.0193,3.5181
1,1,4,20,34.1191,0.9909,0.0741,3.8011
1,1,4,30,31.1928,0.9828,0.1572,4.0996
1,1,4,40,29.1717,0.9731,0.2621,4.8159
1,1,4,50,27.6495,0.9632,0.3745,5.7129
1,1,4,60,26.051,0.9511,0.5089,7.5935
1,1,4,70,24.4707,0.9355,0.6432,11.8793
1,1,4,80,22.1107,0.9072,0.7679,24.269
1,1,5,10,37.9446,0.996,0.0193,3.5025
1,1,5,20,35.4735,0.9932,0.0741,3.8054
1,1,5,30,33.2575,0.989,0.1572,4.3213
1,1,5,40,31.2395,0.9835,0.2621,4.7393
1,1,5,50,29.4877,0.9764,0.3745,5.6906
1,1,5,60,27.2787,0.9632,0.5089,7.5484
1,1,5,70,24.5733,0.9402,0.6432,11.8781
1,1,5,80,21.6663,0.9027,0.7679,23.956
1,1,6,10,37.0928,0.9935,0.0193,3.4509
1,1,6,20,33.6135,0.9857,0.0741,3.7233
1,1,6,30,30.447,0.9709,0.1572,4.1113
1,1,6,40,27.8499,0.9502,0.2621,4.7094
1,1,6,50,25.9487,0.9258,0.3745,5.6749
1,1,6,60,24.04,0.8931,0.5089,7.6551
1,1,6,70,21.9321,0.8429,0.6432,11.7554
1,1,6,80,19.663,0.7662,0.7679,23.9385
1,1,7,10,41.183,0.9973,0.0193,3.5463
1,1,7,20,38.3641,0.9956,0.0741,3.7974
1,1,7,30,35.1775,0.992,0.1572,4.1365
1,1,7,40,32.9867,0.9881,0.2621,4.8185
1,1,7,50,30.8971,0.9825,0.3745,5.669
1,1,7,60,28.68,0.9739,0.5089,7.5373
1,1,7,70,26.5583,0.9624,0.6431,11.8599
1,1,7,80,24.1873,0.944,0.7679,24.1272
1,1,8,10,40.0872,0.9965,0.0193,3.5088
1,1,8,20,37.3838,0.9942,0.0741,4.0611
1,1,8,30,35.4694,0.9916,0.1572,4.1166
1,1,8,40,33.7211,0.9883,0.2621,4.7136
1,1,8,50,31.8702,0.9826,0.3745,5.7144
1,1,8,60,29.5831,0.9711,0.5089,7.7518
1,1,8,70,27.6464,0.9577,0.6432,11.7827
1,1,8,80,25.5827,0.9377,0.7679,24.3533
1,2,1,10,32.8552,0.9726,0.0189,5.8694
1,2,1,20,29.3619,0.9432,0.0725,5.5479
1,2,1,30,27.3001,0.9055,0.1551,6.0993
1,2,1,40,25.614,0.8605,0.2595,7.065
1,2,1,50,24.2306,0.8135,0.3765,8.558
1,2,1,60,22.7162,0.7499,0.5091,11.5087
1,2,1,70,21.3064,0.674,0.6433,17.9518
1,2,1,80,19.5783,0.5872,0.7698,35.7698
1,2,2,10,39.2588,0.9976,0.0189,5.3079
1,2,2,20,35.9533,0.995,0.0725,5.582
1,2,2,30,33.6747,0.9919,0.1551,6.1137
1,2,2,40,31.8542,0.9879,0.2595,7.0796
1,2,2,50,30.4205,0.9839,0.3765,8.5412
1,2,2,60,28.9563,0.9781,0.5091,11.5513
1,2,2,70,27.5125,0.971,0.6433,17.8298
1,2,2,80,26.0269,0.9622,0.7698,35.6713
1,2,3,10,38.9707,0.9927,0.0189,5.3228
1,2,3,20,36.4267,0.9902,0.0725,5.6216
1,2,3,30,34.329,0.987,0.1551,6.1488
1,2,3,40,32.4737,0.9826,0.2595,7.0963
1,2,3,50,31.0232,0.9759,0.3765,9.6117
1,2,3,60,29.3734,0.9637,0.509,11.8032
1,2,3,70,27.5972,0.9442,0.6433,17.7779
1,2,3,80,25.5601,0.9139,0.7698,35.9592
1,2,4,10,42.62,0.9953,0.0194,5.4177
1,2,4,20,39.3414,0.9911,0.0726,5.6694
1,2,4,30,36.4231,0.985,0.1554,6.2444
1,2,4,40,33.372,0.9785,0.2589,7.0299
1,2,4,50,30.5574,0.9691,0.3758,8.5151
1,2,4,60,28.3914,0.9553,0.5087,11.4357
1,2,4,70,26.6846,0.9376,0.6429,18.1782
1,2,4,80,24.7157,0.9094,0.7699,36.4811
1,2,5,10,32.625,0.9815,0.0189,5.2226
1,2,5,20,28.4357,0.9506,0.0725,5.5183
1,2,5,30,25.9608,0.9103,0.1551,6.1584
1,2,5,40,24.0035,0.8592,0.2595,7.0652
1,2,5,50,22.4081,0.7992,0.3765,8.6026
1,2,5,60,20.9218,0.7252,0.5091,11.5427
