==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
46.3501	00.9984	05.9710	kodim01.png
46.3564	00.9996	05.2855	kodim02.png
46.3122	00.9959	05.3536	kodim03.png
46.3501	00.9984	05.2184	kodim04.png
46.3015	00.9979	05.2485	kodim05.png
46.0670	00.9979	06.0495	kodim06.png
46.3469	00.9969	05.3859	kodim07.png
46.1757	00.9977	05.3361	kodim08.png
46.3636	00.9925	05.3546	kodim09.png
46.3108	00.9944	05.3128	kodim10.png
46.3492	00.9953	05.3424	kodim11.png
46.2604	00.9976	05.4232	kodim12.png
46.2448	00.9984	05.2446	kodim13.png
46.3377	00.9968	05.3273	kodim14.png
46.0511	00.9961	05.3428	kodim15.png
46.3513	00.9951	05.3536	kodim16.png
46.3542	00.9928	05.3297	kodim17.png
46.3198	00.9955	05.2335	kodim18.png
46.3566	00.9952	05.2868	kodim19.png
44.7202	00.9919	05.5322	kodim20.png
46.2950	00.9972	05.4318	kodim21.png
46.2862	00.9964	05.3617	kodim22.png
46.2677	00.9972	05.4569	kodim23.png
46.0374	00.9955	05.3808	kodim24.png
==========================================================================================
Watermark Embedding time: 136.5111
==========================================================================================
Image Tampering
Selected? 0
Tamper rate/s? 10 20 30 40 50 60 70 80
Tamper location? 5
==========================================================================================
PSNR	SSIM	Time	Filename
19.2922	00.8970	00.0769	kodim01-10-cc.png
16.0985	00.7965	00.0772	kodim01-20-cc.png
14.4896	00.6964	00.0737	kodim01-30-cc.png
13.3072	00.5961	00.0801	kodim01-40-cc.png
12.3645	00.4974	00.0753	kodim01-50-cc.png
11.5469	00.3961	00.0714	kodim01-60-cc.png
10.8391	00.2972	00.0700	kodim01-70-cc.png
10.2031	00.1975	00.0687	kodim01-80-cc.png
17.6289	00.8989	00.1324	kodim02-10-cc.png
14.6875	00.7993	00.1168	kodim02-20-cc.png
12.9251	00.6993	00.1092	kodim02-30-cc.png
11.6608	00.5991	00.1018	kodim02-40-cc.png
10.6980	00.4998	00.0925	kodim02-50-cc.png
09.9096	00.3994	00.0853	kodim02-60-cc.png
