==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.4118	00.9908	02.6082	1.tif
45.5589	00.9955	02.0808	10.tif
45.7003	00.9975	02.0667	100.tif
45.6456	00.9973	02.0905	1000.tif
45.6928	00.9971	02.1691	1001.tif
45.6957	00.9959	02.1826	1002.tif
45.6945	00.9937	02.2070	1003.tif
45.6949	00.9966	02.7102	1004.tif
45.6988	00.9951	02.6662	1005.tif
45.6992	00.9982	02.8827	1006.tif
45.7038	00.9939	03.4463	1007.tif
45.7009	00.9968	03.2832	1008.tif
45.6960	00.9976	03.0096	1009.tif
45.6920	00.9958	02.8156	101.tif
45.7006	00.9982	02.6764	1010.tif
45.6936	00.9950	03.4320	1011.tif
45.7014	00.9970	02.7878	1012.tif
45.6891	00.9955	02.7234	1013.tif
45.6938	00.9960	02.5837	1014.tif
45.6989	00.9960	03.1795	1015.tif
45.7003	00.9962	03.0374	1016.tif
45.6355	00.9963	02.5396	1017.tif
45.6492	00.9917	03.0572	1018.tif
45.6668	00.9948	02.8344	1019.tif
45.6882	00.9974	02.9091	102.tif
45.6012	00.9943	02.8637	1020.tif
45.5984	00.9944	02.6287	1021.tif
45.6542	00.9983	02.7359	1022.tif
45.6312	00.9984	03.5255	1023.tif
45.6320	00.9984	03.0779	1024.tif
45.5855	00.9960	02.7425	1025.tif
45.6491	00.9981	03.0786	1026.tif
45.6269	00.9972	02.8304	1027.tif
45.6582	00.9965	02.8318	1028.tif
45.6581	00.9978	02.4650	1029.tif
45.6458	00.9926	02.6745	103.tif
45.4459	00.9997	03.1226	1030.tif
45.3405	00.9969	02.6558	1031.tif
45.6327	00.9979	02.5911	1032.tif
45.6568	00.9973	02.7038	1033.tif
45.6521	00.9962	02.6677	1034.tif
45.7076	00.9985	03.1222	1035.tif
45.6957	00.9979	03.0105	1036.tif
45.6627	00.9977	02.5067	1037.tif
45.5398	00.9970	02.8453	1038.tif
45.4850	00.9988	02.7438	1039.tif
45.6156	00.9960	02.6787	104.tif
45.5309	00.9989	02.7194	1040.tif
45.5218	00.9994	02.5532	1041.tif
45.6840	00.9947	02.7108	1042.tif
45.6583	00.9982	02.8996	1043.tif
45.6758	00.9982	03.1224	1044.tif
45.6188	00.9991	02.6959	1045.tif
45.5866	00.9996	03.2525	1046.tif
45.6587	00.9969	02.9113	1047.tif
45.6823	00.9961	02.7131	1048.tif
45.5182	00.9986	03.0505	1049.tif
45.1426	00.9907	03.0343	105.tif
45.4099	00.9982	02.6417	1050.tif
45.4357	00.9979	02.7402	1051.tif
45.6938	00.9969	02.9197	1052.tif
45.7009	00.9969	02.7141	1053.tif
45.6946	00.9941	02.8247	1054.tif
45.6899	00.9942	02.8924	1055.tif
45.4922	00.9954	02.9312	1056.tif
45.7022	00.9889	03.1728	1057.tif
45.7078	00.9990	03.0406	1058.tif
45.1063	00.9891	03.1490	1059.tif
45.6927	00.9939	02.6930	106.tif
45.2126	00.9889	03.0783	1060.tif
45.6435	00.9978	02.8046	1061.tif
45.6685	00.9960	02.8421	1062.tif
45.4691	00.9997	02.7233	1063.tif
45.3533	00.9995	02.7037	1064.tif
45.5725	00.9974	03.0601	1065.tif
45.6417	00.9956	03.1324	1066.tif
45.6655	00.9953	03.0628	1067.tif
45.5068	00.9978	02.7667	1068.tif
45.5868	00.9971	02.6645	1069.tif
45.6749	00.9958	02.6371	107.tif
45.5633	00.9932	03.0784	1070.tif
45.5418	00.9971	03.1416	1071.tif
45.6093	00.9937	03.0216	1072.tif
45.6757	00.9977	02.7832	1073.tif
45.6273	00.9957	02.6475	1074.tif
45.7008	00.9965	02.8474	1075.tif
45.6862	00.9964	03.0950	1076.tif
45.6952	00.9958	02.9326	1077.tif
45.6662	00.9985	02.8315	1078.tif
45.6554	00.9972	02.7798	1079.tif
45.6819	00.9952	02.9023	108.tif
